Head_x,Head_y,ProThorax_x,ProThorax_y,MesoThorax_x,MesoThorax_y,MetaThorax_x,MetaThorax_y,Abdomen_x,Abdomen_y,Abdomen_Mid_x,Abdomen_Mid_y,Abdomen_Tip_x,Abdomen_Tip_y,FL_Tibia_x,FL_Tibia_y,FL_Femur_x,FL_Femur_y,FL_Trochanter_x,FL_Trochanter_y,FL_Coxa_x,FL_Coxa_y,ML_Tarsi_x,ML_Tarsi_y,ML_Femur_x,ML_Femur_y,ML_Trochanter_x,ML_Trochanter_y,ML_Coxa_x,ML_Coxa_y,HL_Tarsi_x,HL_Tarsi_y,HL_Femur_x,HL_Femur_y,HL_Trochanter_x,HL_Trochanter_y,HL_Coxa_x,HL_Coxa_y
310.41424560546875,363.3492126464844,293.0480041503906,366.86346435546875,231.5480499267578,395.0545959472656,208.0764923095703,415.7755432128906,188.2072296142578,433.6221008300781,150.7019500732422,422.05438232421875,133.907958984375,372.2751770019531,297.5881652832031,513.21435546875,300.2353820800781,480.08203125,256.6871032714844,426.646484375,274.5402526855469,380.0623779296875,250.0447235107422,486.0564270019531,242.41412353515625,425.4112548828125,215.69747924804688,436.0361022949219,220.36001586914062,411.5224609375,148.92222595214844,484.78814697265625,171.75233459472656,409.9645080566406,187.5503387451172,447.87225341796875,198.95826721191406,427.0745544433594
310.41424560546875,363.3492126464844,293.0480041503906,366.87646484375,231.5480499267578,395.08392333984375,208.0764923095703,415.9031982421875,188.2072296142578,433.6222229003906,150.7019500732422,422.0824890136719,133.907958984375,372.3177490234375,297.5881652832031,513.25146484375,300.2353820800781,480.146728515625,256.6871032714844,426.646484375,274.5402526855469,380.1080017089844,250.0625762939453,486.120849609375,242.41412353515625,425.6572265625,215.69747924804688,436.0392150878906,220.36001586914062,411.5906066894531,148.944580078125,484.7965393066406,171.7736358642578,409.97723388671875,187.5503387451172,447.88568115234375,198.95826721191406,427.10577392578125
310.41424560546875,363.3492126464844,293.0480041503906,366.8875732421875,231.5480499267578,395.08563232421875,208.0764923095703,415.9985656738281,188.2072296142578,433.6836242675781,150.73829650878906,422.0889587402344,133.907958984375,372.3315124511719,297.5881652832031,513.2719116210938,300.2353820800781,480.1666259765625,256.6871032714844,426.646484375,274.5402526855469,380.1083984375,250.0686492919922,486.15838623046875,242.41412353515625,425.7095642089844,215.69747924804688,436.0474548339844,220.36001586914062,411.7311096191406,148.944580078125,484.7965393066406,171.8724822998047,409.97723388671875,187.5503387451172,447.92706298828125,198.95826721191406,427.10577392578125
310.3023986816406,363.3492126464844,292.98095703125,366.8941650390625,231.54702758789062,395.08563232421875,207.9730987548828,416.0818176269531,188.15411376953125,433.6836242675781,150.77333068847656,422.0983581542969,133.8764190673828,372.3606872558594,297.379638671875,513.3632202148438,300.1112365722656,480.1666259765625,256.6261291503906,426.6054382324219,274.530029296875,380.1324157714844,250.09844970703125,486.15838623046875,242.33229064941406,425.7151184082031,215.55978393554688,436.0474548339844,220.34642028808594,411.7311096191406,148.944580078125,484.78814697265625,171.8768768310547,409.9645080566406,187.4196014404297,447.9377136230469,198.83743286132812,427.10577392578125
310.2640380859375,363.3440246582031,292.94024658203125,366.8985290527344,231.53330993652344,395.08563232421875,207.92813110351562,416.0818176269531,188.1195068359375,433.6855773925781,150.73829650878906,422.12835693359375,133.75445556640625,372.466064453125,297.21331787109375,513.4217529296875,300.0624694824219,480.1666259765625,256.5982971191406,426.60296630859375,274.5180358886719,380.14093017578125,250.10728454589844,486.120849609375,242.23153686523438,425.728271484375,215.5500946044922,436.0896301269531,220.33920288085938,411.7421569824219,148.9459228515625,484.7965393066406,171.89572143554688,409.9482727050781,187.31153869628906,447.940673828125,198.79466247558594,427.1178283691406
310.1484680175781,363.34393310546875,292.82073974609375,366.97796630859375,231.3535614013672,395.1155700683594,207.89068603515625,416.1024169921875,188.00990295410156,433.7478332519531,150.7328643798828,422.2510681152344,133.65464782714844,372.55645751953125,296.959716796875,513.5448608398438,299.99725341796875,479.45654296875,256.48663330078125,426.60296630859375,274.3781433105469,380.1419982910156,250.11184692382812,486.1171875,242.20486450195312,425.728271484375,215.4949188232422,436.1403503417969,220.26583862304688,411.7311096191406,148.944580078125,484.78741455078125,171.89572143554688,409.9248962402344,187.24151611328125,447.940673828125,198.6345977783203,427.1826171875
310.0645446777344,363.34124755859375,292.7994079589844,367.021240234375,231.3144989013672,395.1280517578125,207.88035583496094,416.10906982421875,187.92417907714844,433.74859619140625,150.7328643798828,422.3829345703125,133.5950927734375,372.5972900390625,296.7894592285156,513.5448608398438,299.99725341796875,479.4541320800781,256.397705078125,426.6054382324219,274.3449401855469,380.1620788574219,250.12513732910156,486.1127014160156,242.18812561035156,425.7291564941406,215.3529815673828,436.18670654296875,220.17420959472656,411.7311096191406,148.93896484375,484.78741455078125,171.89572143554688,409.9242248535156,187.19699096679688,447.9377136230469,198.54200744628906,427.2093505859375
309.9815673828125,363.3403625488281,292.75537109375,367.04180908203125,231.131591796875,395.2139587402344,207.692626953125,416.10906982421875,187.6011505126953,433.78131103515625,150.56478881835938,422.3847351074219,133.48744201660156,372.7009582519531,296.6127014160156,513.612548828125,299.99725341796875,479.45147705078125,256.34002685546875,426.6557922363281,274.29254150390625,380.1639099121094,250.13125610351562,486.1127014160156,242.17532348632812,425.7663269042969,215.30877685546875,436.18670654296875,220.0870361328125,411.75390625,148.90798950195312,484.78619384765625,171.7938232421875,409.9031066894531,186.92221069335938,447.9370422363281,198.34390258789062,427.212646484375
309.8779296875,363.2795104980469,292.6531982421875,367.0495910644531,230.9912872314453,395.2832336425781,207.63323974609375,416.12640380859375,187.58106994628906,433.78131103515625,150.4936065673828,422.4495544433594,133.33383178710938,372.743408203125,296.4992980957031,513.6304931640625,299.93017578125,479.4541320800781,256.24835205078125,426.6557922363281,274.2207946777344,380.1639099121094,250.1374053955078,486.1127014160156,242.14849853515625,425.8319091796875,215.29873657226562,436.18670654296875,219.99842834472656,411.766845703125,148.90643310546875,484.78509521484375,171.7805938720703,409.9242248535156,186.89898681640625,447.9353942871094,198.2938995361328,427.212646484375
309.8032531738281,363.2331848144531,292.6375732421875,367.07421875,230.81878662109375,395.37762451171875,207.56739807128906,416.1823425292969,187.51974487304688,433.788330078125,150.4936065673828,422.5120544433594,133.30441284179688,372.8184509277344,296.3724365234375,513.687255859375,299.894775390625,479.45654296875,256.2331237792969,426.6557922363281,274.18572998046875,380.1639099121094,250.14114379882812,486.11761474609375,242.09288024902344,425.8319091796875,215.2335968017578,435.5090026855469,219.9468536376953,411.8040771484375,148.87249755859375,484.7738952636719,171.77452087402344,409.9242248535156,186.8419952392578,447.9353942871094,198.23202514648438,427.212646484375
