Head_x,Head_y
148.647,4.256
148.755,1013.07
148.756,1013.07
278.129,15.879
278.727,13.043
278.129,13.043
278.129,4.93
262.014,4.347
261.572,4.089
261.572,4.089
261.572,4.089
262.729,17.174
262.729,17.4
262.729,17.4
262.582,17.4
261.683,4.158
261.683,4.158
261.683,4.158
277.758,4.32
278.24,4.424
278.52,4.424
279.178,4.424
290.169,4.424
290.169,4.418
290.169,4.1
290.643,4.391
278.867,4.391
278.867,4.391
288.609,11.02
293.683,649.787
620.96,649.787
621.145,649.26
621.262,649.26
621.262,643.371
621.262,643.302
621.37,643.248
621.588,643.248
621.818,643.248
621.818,643.298
621.818,643.343
621.731,643.446
621.55,643.446
621.522,643.446
294.582,5.621
294.363,5.0
294.059,4.238
294.059,3.781
294.059,3.781
294.479,3.781
294.543,4.711
294.543,4.711
294.543,4.711
294.191,3.203
294.035,3.203
293.703,3.203
292.483,3.047
292.11,2.641
287.051,3.508
286.994,3.281
286.994,2.641
286.994,3.281
287.016,3.454
291.722,3.454
292.31,4.034
308.753,1013.778
308.753,1013.81
308.753,1013.81
308.753,1013.81
308.752,1013.815
308.752,1013.827
308.752,1013.834
308.752,1013.834
308.748,1013.834
149.27,1013.549
149.27,1013.549
149.264,1013.549
149.27,1013.549
149.271,1013.549
149.271,1013.546
149.268,1013.536
149.268,1013.52
149.254,1013.518
149.249,1013.518
149.244,1013.497
149.244,1013.491
149.243,1013.481
149.235,1013.478
149.235,1013.463
149.235,1013.459
149.244,1013.459
149.249,1013.463
149.251,1013.501
149.256,1013.513
149.255,1013.514
149.256,1013.518
149.259,1013.523
149.259,1013.523
149.262,1013.525
308.757,1013.823
308.755,1013.823
308.747,1013.807
308.755,1013.807
308.757,1013.807
340.362,5.664
347.921,5.664
355.87,5.664
357.539,10.319
358.174,16.77
358.822,22.77
363.331,30.82
365.606,39.734
371.854,49.016
379.071,57.5
385.408,64.582
390.629,71.984
396.374,72.59
404.37,74.948
413.199,84.033
426.867,94.281
438.129,112.812
446.436,135.133
459.028,162.514
468.204,195.208
475.818,232.324
483.291,275.6
490.572,327.164
499.8,378.815
515.165,429.204
525.65,483.316
540.246,529.242
550.1,539.846
563.432,599.17
568.207,664.35
607.613,818.336
607.613,876.484
607.613,940.594
164.584,1012.919
164.542,1012.941
164.542,1012.951
164.542,1012.941
164.542,1012.929
164.537,1012.929
164.536,1012.894
164.528,1012.891
164.527,1012.891
164.523,1012.891
164.523,1012.891
164.521,1012.888
164.52,1012.887
164.518,1012.885
164.52,1012.885
164.518,1012.882
164.518,1012.882
164.508,1012.909
164.522,1012.999
164.479,1013.166
164.552,1013.166
164.526,1012.999
164.526,1012.916
164.526,1012.909
164.526,1012.908
164.526,1012.9
164.527,1012.904
164.527,1012.904
164.527,1012.904
164.527,1012.903
164.527,1012.903
164.526,1012.903
164.526,1012.902
164.528,1012.901
164.528,1012.901
164.528,1012.901
164.528,1012.901
164.528,1012.908
164.527,1012.909
164.527,1012.912
164.527,1012.913
164.527,1012.913
164.527,1012.913
164.528,1012.913
164.528,1012.912
635.247,650.752
635.247,650.751
635.247,650.742
635.247,650.742
635.247,650.738
635.248,650.733
635.248,650.733
635.276,650.743
635.248,650.743
635.248,650.814
164.524,1012.899
164.523,1012.901
164.522,1012.901
164.521,1012.901
164.521,1012.901
164.521,1012.901
164.521,1012.897
164.524,1012.896
164.524,1012.896
635.338,650.883
635.338,650.883
635.338,650.879
635.338,650.879
635.344,650.879
635.344,650.886
635.338,650.922
164.526,1012.888
164.526,1012.892
164.525,1012.895
164.525,1012.895
164.525,1012.895
164.525,1012.896
164.525,1012.896
164.525,1012.896
164.524,1012.896
164.524,1012.896
164.525,1012.894
164.525,1012.893
164.525,1012.893
164.526,1012.893
164.526,1012.892
164.526,1012.891
164.523,1012.888
164.523,1012.887
164.523,1012.887
164.523,1012.887
635.369,650.931
635.372,650.929
635.378,650.929
635.378,650.929
635.378,650.93
635.378,650.929
635.356,650.929
635.341,650.919
635.341,650.905
635.341,650.905
635.341,650.905
635.352,650.922
635.353,650.922
635.354,650.923
635.358,650.924
635.358,650.928
635.358,650.924
635.359,650.933
635.359,650.924
635.361,650.921
635.361,650.919
635.361,650.919
635.361,650.919
308.576,1012.945
308.575,1013.104
308.575,1013.104
308.575,1013.104
308.58,1013.104
308.584,1013.102
308.587,1013.099
308.588,1013.094
308.59,1013.093
308.591,1013.088
308.592,1013.082
308.596,1013.081
308.596,1013.076
308.596,1013.074
308.596,1013.065
308.597,1013.062
308.6,1013.062
308.602,1013.058
308.604,1013.052
308.605,1013.052
308.606,1013.052
308.606,1013.056
308.606,1013.056
308.599,1013.056
308.576,1013.026
308.48,1012.878
308.364,1012.745
308.236,1012.633
274.146,837.674
274.146,837.674
273.684,837.674
273.684,838.107
148.839,1012.927
148.829,1012.962
148.829,1012.997
148.829,1013.022
148.829,1013.032
148.799,1013.032
148.799,1013.032
148.799,1012.983
308.166,1012.928
308.192,1012.928
308.216,1012.928
308.222,1012.971
308.222,1012.971
308.222,1012.971
164.592,1012.901
164.526,1012.901
149.056,1012.901
149.043,1013.14
149.043,1013.169
149.056,1013.251
149.06,1013.251
149.06,1013.251
149.069,1013.231
149.075,1013.225
149.098,1013.225
149.111,1013.225
149.163,1013.235
149.229,1013.354
149.253,1013.354
149.293,1013.354
308.24,1013.043
308.266,1013.026
308.267,1013.026
308.272,1013.043
308.272,1013.075
308.272,1013.123
308.281,1013.174
308.281,1013.179
308.284,1013.27
308.284,1013.343
308.298,1013.379
308.304,1013.379
308.316,1013.379
308.323,1013.379
308.332,1013.379
308.347,1013.393
308.358,1013.422
308.393,1013.615
308.484,1013.715
308.565,1013.783
308.756,1013.783
308.793,1013.783
308.793,1013.75
308.756,1013.75
308.474,1013.75
308.474,1013.79
308.458,1013.875
308.453,1013.875
308.453,1013.882
308.453,1013.882
308.453,1013.892
308.484,1013.892
308.642,1013.892
308.642,1014.043
308.642,1013.971
149.346,1013.944
149.233,1013.944
149.22,1013.971
149.212,1013.944
149.218,1013.877
149.206,1013.877
149.206,1013.946
149.206,1013.946
149.218,1013.99
94.766,1020.02
94.766,1020.02
94.758,1020.076
94.691,1020.076
94.691,1020.076
94.691,1020.076
149.317,1014.387
149.317,1013.948
149.367,1013.948
149.367,1013.948
308.782,1014.189
308.811,1014.211
308.857,1014.211
308.939,1014.242
308.939,1014.242
308.939,1013.746
149.194,1013.694
149.18,1013.694
149.18,1013.677
149.18,1013.641
499.746,574.359
499.752,574.336
499.752,574.336
499.752,574.359
499.752,574.336
503.832,574.506
503.832,574.506
503.832,574.105
503.832,564.442
504.73,564.407
505.775,563.858
505.775,564.407
505.775,564.407
505.625,563.858
499.812,563.858
148.984,1013.364
148.891,1013.345
148.891,1013.345
148.891,1013.345
148.891,1013.289
148.891,1013.279
148.91,1013.279
148.91,1013.279
148.91,1013.279
148.884,1013.34
148.91,1013.34
148.884,1013.345
148.884,1013.351
148.916,1013.412
148.949,1013.412
148.949,1013.412
416.607,510.316
416.607,509.421
416.607,508.223
410.032,506.595
405.926,506.595
404.856,508.069
403.564,508.069
396.799,511.281
371.328,511.281
370.805,527.141
369.92,542.369
369.92,542.369
369.92,542.32
355.053,542.369
339.31,542.377
322.443,542.377
309.239,542.559
306.414,1013.501
290.963,557.994
290.849,558.34
149.025,1013.462
149.033,1013.438
149.041,1013.438
149.041,1013.462
149.041,1013.462
149.06,1013.457
149.093,1013.457
291.354,558.113
307.374,558.113
322.726,557.898
329.955,544.934
352.258,544.086
369.211,544.934
384.955,544.934
392.012,548.428
392.012,548.428
392.012,548.428
285.987,458.473
285.987,458.473
285.987,458.473
354.736,512.734
354.736,512.734
354.736,512.988
336.238,512.734
311.91,512.988
271.895,517.276
241.443,535.094
211.267,543.016
211.267,543.102
193.57,544.945
176.875,551.047
159.867,551.775
144.412,551.932
130.355,558.272
130.355,566.398
130.355,579.787
308.799,1013.493
308.813,1013.525
308.828,1013.564
308.846,1013.604
308.858,1013.625
308.872,1013.646
308.872,1013.646
308.872,1013.646
183.926,527.082
183.926,515.582
183.926,510.633
195.898,507.947
199.531,507.947
209.16,499.755
209.277,495.535
209.277,495.535
209.277,495.535
207.445,495.535
195.092,495.557
192.926,495.557
192.926,495.557
192.926,495.557
195.678,495.283
200.504,479.363
209.701,479.363
210.812,478.795
217.289,478.613
226.607,478.158
242.372,463.535
257.646,463.535
259.516,463.535
273.84,463.668
275.328,463.668
289.932,478.195
308.901,1013.82
308.901,1013.831
308.905,1013.842
308.905,1013.868
308.895,1013.868
308.895,1013.871
308.9,1013.871
308.9,1013.873
308.901,1013.882
308.901,1013.882
308.902,1013.886
308.901,1013.892
308.905,1013.895
308.901,1013.895
308.901,1013.9
308.898,1013.9
308.9,1013.903
308.9,1013.907
308.9,1013.939
308.908,1013.96
308.92,1013.983
308.928,1014.008
308.946,1014.029
308.962,1014.074
308.98,1014.102
309.001,1014.137
309.008,1014.143
309.015,1014.148
309.03,1014.158
309.044,1014.172
309.05,1014.172
309.067,1014.205
309.08,1014.207
309.088,1014.223
309.104,1014.238
309.11,1014.24
309.112,1014.242
309.116,1014.244
309.118,1014.246
309.118,1014.246
309.118,1014.242
309.128,1014.076
309.128,1014.022
309.119,1014.006
309.128,1013.998
309.128,1013.977
309.119,1013.934
309.089,1013.9
309.062,1013.849
309.054,1013.81
309.044,1013.807
309.044,1013.715
309.054,1013.715
309.064,1013.715
309.064,1013.68
309.064,1013.712
309.039,1013.712
309.012,1013.704
308.994,1013.694
308.99,1013.694
308.984,1013.689
308.966,1013.618
308.937,1013.51
308.935,1013.497
308.916,1013.456
308.823,1013.456
308.807,1013.483
308.793,1013.456
308.786,1013.456
308.784,1013.159
298.214,977.34
296.512,963.338
295.234,948.196
295.234,933.407
295.234,921.047
300.453,912.039
308.759,909.783
315.301,909.511
320.766,909.511
327.895,909.511
334.498,911.148
334.498,913.592
334.498,913.592
330.842,913.592
325.303,908.089
319.832,894.969
315.867,876.435
309.72,852.34
303.34,830.686
295.754,808.859
294.834,798.406
291.24,798.406
288.062,798.406
284.361,801.318
284.361,804.229
284.361,807.91
296.188,808.186
306.37,808.186
316.931,808.186
328.766,799.074
335.852,792.543
343.498,786.464
349.464,779.203
349.464,775.506
349.464,775.506
342.266,775.506
336.676,777.508
328.705,782.514
320.648,784.617
310.459,787.896
300.929,792.566
290.173,793.41
281.402,793.41
277.056,793.434
277.056,793.504
277.056,793.504
283.238,793.996
291.144,793.996
303.109,793.996
314.562,793.652
324.395,792.309
335.629,788.768
349.519,785.211
358.34,782.531
364.947,780.837
370.104,780.209
370.104,780.209
370.104,780.209
365.401,781.619
359.344,783.09
351.031,785.674
338.467,787.651
328.68,787.651
320.305,787.651
311.127,785.902
