scorer,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000
bodyparts,Head,Head,Head,ProThorax,ProThorax,ProThorax,MesoThorax,MesoThorax,MesoThorax,MetaThorax,MetaThorax,MetaThorax,Abdomen,Abdomen,Abdomen,Abdomen_Mid,Abdomen_Mid,Abdomen_Mid,Abdomen_Tip,Abdomen_Tip,Abdomen_Tip,FL_Tibia,FL_Tibia,FL_Tibia,FL_Femur,FL_Femur,FL_Femur,FL_Trochanter,FL_Trochanter,FL_Trochanter,FL_Coxa,FL_Coxa,FL_Coxa,ML_Tarsi,ML_Tarsi,ML_Tarsi,ML_Femur,ML_Femur,ML_Femur,ML_Trochanter,ML_Trochanter,ML_Trochanter,ML_Coxa,ML_Coxa,ML_Coxa,HL_Tarsi,HL_Tarsi,HL_Tarsi,HL_Femur,HL_Femur,HL_Femur,HL_Trochanter,HL_Trochanter,HL_Trochanter,HL_Coxa,HL_Coxa,HL_Coxa
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,410.0083923339844,341.7489318847656,0.9969016313552856,404.0186767578125,349.0497131347656,0.9981933236122131,383.508056640625,384.8771057128906,0.9952050447463989,377.0113830566406,399.65179443359375,0.9969170093536377,367.2934265136719,410.0897216796875,0.9976119995117188,345.4477844238281,407.3636474609375,0.9971936941146851,336.1396179199219,386.8293151855469,0.9894229769706726,446.6360778808594,414.86248779296875,0.9891741275787354,435.65228271484375,400.9241638183594,0.9976029992103577,403.72515869140625,388.4381408691406,0.9996325969696045,399.83404541015625,359.83526611328125,0.9978391528129578,396.1386413574219,448.271484375,0.9900960922241211,387.7763977050781,414.0191345214844,0.9775859117507935,378.7802429199219,411.7574157714844,0.9990554451942444,379.8380126953125,397.5048522949219,0.9976859092712402,335.29443359375,450.9990539550781,0.9944968819618225,353.0507507324219,397.7291259765625,0.9002866148948669,366.00616455078125,418.5556945800781,0.9997606873512268,370.08099365234375,408.2284851074219,0.9993497729301453
1,410.05767822265625,341.7976989746094,0.9968991279602051,404.0350646972656,349.0497131347656,0.9982030391693115,383.54644775390625,384.8771057128906,0.9951607584953308,377.0359802246094,399.65179443359375,0.9968132376670837,367.3235168457031,410.0956726074219,0.9976255297660828,345.47308349609375,407.3759460449219,0.9971265196800232,336.1998291015625,386.8799133300781,0.989039421081543,446.67120361328125,414.8666076660156,0.9899073839187622,435.65228271484375,400.9461669921875,0.9977371692657471,403.8312683105469,388.4381408691406,0.9996399879455566,399.83642578125,359.8405456542969,0.9979254007339478,396.25750732421875,448.271484375,0.989835798740387,387.7901306152344,414.04925537109375,0.9770947098731995,378.784423828125,411.7668151855469,0.9990314245223999,379.86077880859375,397.5048522949219,0.9976376295089722,335.304443359375,450.9990539550781,0.994564414024353,353.08026123046875,397.7291259765625,0.9013628363609314,366.0375061035156,418.5556945800781,0.9997597336769104,370.11724853515625,408.2284851074219,0.9993523955345154
2,410.1009216308594,341.7976989746094,0.996968686580658,404.0720520019531,349.0497131347656,0.9982118606567383,383.5467529296875,384.8783264160156,0.9952443242073059,377.043701171875,399.6523742675781,0.9969064593315125,367.3267822265625,410.0965576171875,0.9976504445075989,345.5091247558594,407.39312744140625,0.997156023979187,336.2106018066406,386.9075927734375,0.988849401473999,446.6744384765625,414.88037109375,0.989751935005188,435.70703125,401.01324462890625,0.9976305961608887,403.86151123046875,388.4386901855469,0.9996362924575806,399.96868896484375,359.8582458496094,0.9979870319366455,396.3515625,448.271484375,0.9896699786186218,387.79730224609375,414.0562744140625,0.9775170087814331,378.80706787109375,411.8036804199219,0.999038815498352,379.87969970703125,397.5052795410156,0.9975984692573547,335.3077697753906,450.9990539550781,0.9946712851524353,353.08026123046875,397.76556396484375,0.8979089856147766,366.0415344238281,418.570556640625,0.9997536540031433,370.1375427246094,408.26458740234375,0.9993597865104675
3,410.1883850097656,341.78900146484375,0.9970483183860779,404.16650390625,349.0369567871094,0.9982411861419678,383.5824279785156,384.9374084472656,0.9952695965766907,377.12420654296875,399.7274475097656,0.9966841340065002,367.4236145019531,410.0965576171875,0.9975864887237549,345.4961242675781,407.4164123535156,0.9972060322761536,336.2322998046875,386.8799133300781,0.9888457655906677,446.681396484375,414.9326171875,0.9898834824562073,435.70703125,401.0189208984375,0.9976603984832764,403.9031982421875,388.4381408691406,0.9996429681777954,400.0256042480469,359.8405456542969,0.9980666041374207,396.3768005371094,448.24517822265625,0.9893576502799988,387.836181640625,414.0619201660156,0.9771814346313477,378.8253173828125,411.8036804199219,0.9990272521972656,379.96484375,397.58917236328125,0.9976150989532471,335.3320007324219,450.9990539550781,0.994941771030426,353.08026123046875,397.76556396484375,0.8942946195602417,366.10601806640625,418.5746765136719,0.9997536540031433,370.2112121582031,408.26458740234375,0.9993507266044617
4,410.2021484375,341.7489318847656,0.9969933032989502,404.2008972167969,349.0133361816406,0.9982043504714966,383.65045166015625,384.9374084472656,0.9953729510307312,377.1454772949219,399.7334289550781,0.9967682361602783,367.42864990234375,410.1278991699219,0.9975774884223938,345.50738525390625,407.41790771484375,0.9971415400505066,336.23443603515625,386.8799133300781,0.9892088770866394,446.69561767578125,414.9540100097656,0.9892361760139465,435.7237548828125,401.16241455078125,0.9977465271949768,403.98779296875,388.412109375,0.9996403455734253,400.1295166015625,359.8357238769531,0.9980922341346741,396.4399108886719,448.23626708984375,0.9893546104431152,387.88226318359375,414.074951171875,0.9764357209205627,378.8254089355469,411.8188171386719,0.9990203380584717,380.0087890625,397.5976867675781,0.9975862503051758,335.3572998046875,451.0008239746094,0.9949788451194763,353.0959167480469,397.76556396484375,0.8972673416137695,366.1141662597656,418.58172607421875,0.9997525811195374,370.2267761230469,408.2731628417969,0.999359667301178
5,410.2089538574219,341.7452697753906,0.997041642665863,404.2230224609375,348.9913330078125,0.9982137680053711,383.66937255859375,384.9188537597656,0.9953100085258484,377.15838623046875,399.737548828125,0.9967723488807678,367.4339599609375,410.1341857910156,0.9976039528846741,345.51708984375,407.42510986328125,0.9972099661827087,336.2345275878906,386.8898010253906,0.9891805052757263,446.70306396484375,414.9792175292969,0.9891719222068787,435.7269592285156,401.16839599609375,0.9978518486022949,404.0044860839844,388.4111328125,0.9996488094329834,400.187255859375,359.8357238769531,0.9980944991111755,396.458251953125,448.2203063964844,0.989557683467865,387.8870544433594,414.1502685546875,0.9770826101303101,378.83087158203125,411.842529296875,0.9990350008010864,380.02093505859375,397.5976867675781,0.9975612163543701,335.35845947265625,451.0008239746094,0.9948574304580688,353.1077575683594,397.76556396484375,0.8945481181144714,366.1493835449219,418.58172607421875,0.9997547268867493,370.2423095703125,408.2741394042969,0.9993672966957092
6,410.2176513671875,341.7376708984375,0.9970388412475586,404.24493408203125,348.99029541015625,0.998196542263031,383.7006530761719,384.9188537597656,0.9952535629272461,377.1686706542969,399.737548828125,0.9967525005340576,367.4481201171875,410.1365661621094,0.9976053237915039,345.51708984375,407.42510986328125,0.9972015619277954,336.2345275878906,386.8681945800781,0.9891856908798218,446.75677490234375,415.2586975097656,0.9891383051872253,435.809326171875,401.29962158203125,0.9980437755584717,404.0044860839844,388.4111328125,0.9996553659439087,400.2558288574219,359.8143005371094,0.9980347752571106,396.47430419921875,448.2195129394531,0.9895364046096802,387.89044189453125,414.1502685546875,0.9771729707717896,378.8315124511719,411.842529296875,0.999037504196167,380.0285949707031,397.5976867675781,0.9975559711456299,335.35845947265625,451.0008239746094,0.9948740601539612,353.1077575683594,397.76556396484375,0.897067666053772,366.1646423339844,418.5863952636719,0.9997548460960388,370.2583923339844,408.2741394042969,0.9993667006492615
7,410.2349548339844,341.7314147949219,0.9970546960830688,404.3016357421875,348.9848327636719,0.9981681108474731,383.70758056640625,384.8989562988281,0.9951293468475342,377.1726989746094,399.737548828125,0.9967183470726013,367.47149658203125,410.1389465332031,0.9975855350494385,345.51708984375,407.41790771484375,0.9971471428871155,336.2345275878906,386.8518981933594,0.9891464710235596,446.75677490234375,415.3672790527344,0.989296019077301,435.87322998046875,401.29962158203125,0.9980210065841675,404.0348205566406,388.3921813964844,0.9996620416641235,400.3172302246094,359.7851257324219,0.9979852437973022,396.47430419921875,448.216064453125,0.9895842671394348,387.8929138183594,414.1513366699219,0.9772787690162659,378.8418884277344,411.842529296875,0.9990359544754028,380.0323791503906,397.5976867675781,0.9975132942199707,335.3572998046875,451.0008239746094,0.9949251413345337,353.1077575683594,397.7679443359375,0.8968363404273987,366.1771545410156,418.58172607421875,0.9997543692588806,370.2763366699219,408.2731628417969,0.9993653893470764
