scorer,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000,DLC_resnet50_Mantis target distance and angleAug20shuffle1_250000
bodyparts,Head,Head,Head,ProThorax,ProThorax,ProThorax,MesoThorax,MesoThorax,MesoThorax,MetaThorax,MetaThorax,MetaThorax,Abdomen,Abdomen,Abdomen,Abdomen_Mid,Abdomen_Mid,Abdomen_Mid,Abdomen_Tip,Abdomen_Tip,Abdomen_Tip,FL_Tibia,FL_Tibia,FL_Tibia,FL_Femur,FL_Femur,FL_Femur,FL_Trochanter,FL_Trochanter,FL_Trochanter,FL_Coxa,FL_Coxa,FL_Coxa,ML_Tarsi,ML_Tarsi,ML_Tarsi,ML_Femur,ML_Femur,ML_Femur,ML_Trochanter,ML_Trochanter,ML_Trochanter,ML_Coxa,ML_Coxa,ML_Coxa,HL_Tarsi,HL_Tarsi,HL_Tarsi,HL_Femur,HL_Femur,HL_Femur,HL_Trochanter,HL_Trochanter,HL_Trochanter,HL_Coxa,HL_Coxa,HL_Coxa
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,384.4778137207031,463.1498107910156,0.9967221617698669,369.6134338378906,465.0670166015625,0.9925906658172607,311.9540100097656,472.7533264160156,0.9950773119926453,286.2041931152344,482.0907287597656,0.9959087371826172,268.1634826660156,483.9881286621094,0.9901614189147949,256.2805480957031,460.89532470703125,0.9883129000663757,279.2939453125,425.5986022949219,0.9956608414649963,342.5576477050781,558.1448364257812,0.8857585191726685,363.6289367675781,539.3668212890625,0.9770824909210205,321.7211608886719,499.8564758300781,0.9982901215553284,349.4065856933594,471.8513488769531,0.9880011677742004,288.1313171386719,556.4693603515625,0.9916449189186096,305.2705993652344,510.5176696777344,0.9851299524307251,283.7113037109375,498.6639404296875,0.9950659275054932,295.5365295410156,484.6004943847656,0.9978867173194885,202.08486938476562,520.2676391601562,0.993882417678833,266.0619812011719,460.70355224609375,0.915110170841217,255.4253692626953,495.57861328125,0.9994338154792786,274.07684326171875,487.27398681640625,0.9946411848068237
1,384.48199462890625,463.1615905761719,0.9967697858810425,369.6143798828125,465.0789489746094,0.9926543235778809,311.98565673828125,472.77178955078125,0.9950029253959656,286.23748779296875,482.0967102050781,0.9958397150039673,268.2647399902344,483.9946594238281,0.9899911880493164,256.2805480957031,460.94158935546875,0.9878683090209961,279.2939453125,425.5986022949219,0.9956455826759338,342.5633850097656,558.1448364257812,0.8834421038627625,363.63677978515625,539.3692626953125,0.9773243069648743,321.7415771484375,499.8891296386719,0.99825519323349,349.4129943847656,471.8523864746094,0.9879471659660339,288.13763427734375,556.4822387695312,0.9915183186531067,305.2912292480469,510.5176696777344,0.9854297637939453,283.737548828125,498.6639404296875,0.9950299263000488,295.5365295410156,484.6302795410156,0.9978877902030945,202.1040496826172,520.3073120117188,0.9943431615829468,266.093505859375,460.71307373046875,0.9154261350631714,255.46580505371094,495.58056640625,0.9994107484817505,274.0853576660156,487.2796936035156,0.9944601058959961
2,384.48199462890625,463.1615905761719,0.9967702627182007,369.6145935058594,465.0789489746094,0.9926987290382385,311.9896545410156,472.772705078125,0.9949930310249329,286.24310302734375,482.0997314453125,0.9959045052528381,268.268310546875,484.0049133300781,0.9901211261749268,256.2805480957031,460.9991149902344,0.987503707408905,279.30743408203125,425.60235595703125,0.9956426620483398,342.5827941894531,558.1448364257812,0.8849788904190063,363.6486511230469,539.3692626953125,0.9772183895111084,321.745361328125,499.8891296386719,0.9982573390007019,349.4139404296875,471.8535461425781,0.9879406690597534,288.1648254394531,556.4822387695312,0.9915465712547302,305.2992248535156,510.5176696777344,0.9855858683586121,283.7406311035156,498.6683044433594,0.9950931072235107,295.5369567871094,484.6360168457031,0.9979028701782227,202.1040496826172,520.3101806640625,0.9940668344497681,266.1593017578125,460.71307373046875,0.9163846373558044,255.46739196777344,495.5823669433594,0.999415397644043,274.0856018066406,487.2796936035156,0.994644284248352
3,384.4825439453125,463.167236328125,0.9967753291130066,369.6145935058594,465.079345703125,0.9926804900169373,311.9896545410156,472.77325439453125,0.9949806332588196,286.24310302734375,482.10052490234375,0.9959045052528381,268.2647399902344,484.0033874511719,0.9901238083839417,256.2790832519531,460.9991149902344,0.987476646900177,279.30743408203125,425.6036071777344,0.9956775307655334,342.5926513671875,558.1296997070312,0.8856396675109863,363.6487731933594,539.3692626953125,0.9771451950073242,321.745361328125,499.8891296386719,0.9982530474662781,349.4139404296875,471.8535461425781,0.9879492521286011,288.1648254394531,556.4822387695312,0.991517961025238,305.2972717285156,510.5050354003906,0.9854734539985657,283.7406311035156,498.6639404296875,0.9951187372207642,295.5365295410156,484.63848876953125,0.9979088306427002,202.1040496826172,520.3111572265625,0.9940713047981262,266.1593017578125,460.7037658691406,0.9166024327278137,255.46580505371094,495.58056640625,0.9994180202484131,274.0853576660156,487.2793273925781,0.9946520328521729
4,384.4843444824219,463.16925048828125,0.9967368245124817,369.61468505859375,465.085693359375,0.9926031231880188,311.98565673828125,472.7738037109375,0.9949865341186523,286.24310302734375,482.1005554199219,0.9959171414375305,268.2647399902344,484.0049133300781,0.9900609254837036,256.2790832519531,460.9991149902344,0.9874851107597351,279.30987548828125,425.6051330566406,0.9956369996070862,342.65228271484375,558.1126098632812,0.8874155879020691,363.65679931640625,539.365234375,0.9774228930473328,321.7415771484375,499.8882141113281,0.9982757568359375,349.4129943847656,471.8535461425781,0.9878938794136047,288.1648254394531,556.4822387695312,0.9916110634803772,305.2972717285156,510.5050354003906,0.9855237007141113,283.7406311035156,498.6637878417969,0.9951059818267822,295.5321960449219,484.63848876953125,0.9979022741317749,202.0765380859375,520.320068359375,0.993895947933197,266.1593017578125,460.70355224609375,0.9160490036010742,255.46580505371094,495.57861328125,0.999413251876831,274.0853576660156,487.2793273925781,0.9946411848068237
5,384.49163818359375,463.1739196777344,0.9968155026435852,369.6195983886719,465.0885009765625,0.9926922917366028,311.95556640625,472.81951904296875,0.9948939085006714,286.2235107421875,482.101318359375,0.9959050416946411,268.2257995605469,484.008056640625,0.9900027513504028,256.2790832519531,460.9888000488281,0.9873338937759399,279.4338684082031,425.6734313964844,0.9955222606658936,342.7106018066406,558.0603637695312,0.889868438243866,363.74176025390625,539.2409057617188,0.9773948788642883,321.7215881347656,499.8882141113281,0.9982572197914124,349.4085693359375,471.8569641113281,0.9879496097564697,288.174072265625,556.527587890625,0.9915834069252014,305.2972717285156,510.5050354003906,0.9853530526161194,283.7406311035156,498.6637878417969,0.9950657486915588,295.53125,484.6446838378906,0.9979107975959778,202.0596466064453,520.320068359375,0.9938902854919434,266.1593017578125,460.699462890625,0.9167347550392151,255.4253387451172,495.5723571777344,0.9994022846221924,274.05291748046875,487.2817077636719,0.9945782423019409
6,384.49163818359375,463.1739196777344,0.9968053102493286,369.62200927734375,465.0885009765625,0.9927659034729004,311.95556640625,472.81951904296875,0.9949566721916199,286.2235107421875,482.1053161621094,0.9959123730659485,268.2257995605469,484.0049133300781,0.9900118708610535,256.2878723144531,460.9888000488281,0.9872514009475708,279.4422607421875,425.6770324707031,0.9955456256866455,342.7106018066406,558.0603637695312,0.8877283930778503,363.7495422363281,539.2409057617188,0.9772670269012451,321.7215881347656,499.8821716308594,0.9982523322105408,349.4085693359375,471.8569641113281,0.9880937933921814,288.174072265625,556.5425415039062,0.9914029240608215,305.2937927246094,510.51519775390625,0.9853653311729431,283.74066162109375,498.6630554199219,0.9950680732727051,295.5298767089844,484.6490478515625,0.9979192614555359,202.0538330078125,520.3633422851562,0.9937884211540222,266.1573181152344,460.6897888183594,0.9174511432647705,255.425048828125,495.57080078125,0.9994044303894043,274.05291748046875,487.2793273925781,0.9945806860923767
7,384.494873046875,463.1739196777344,0.9968074560165405,369.6195983886719,465.0885009765625,0.9927473664283752,311.95556640625,472.81951904296875,0.9949162006378174,286.2235107421875,482.1123352050781,0.9959271550178528,268.2257995605469,484.0033874511719,0.99007648229599,256.2939758300781,460.9864501953125,0.9872663617134094,279.4530944824219,425.6780700683594,0.995535135269165,342.7106018066406,558.058837890625,0.887905478477478,363.7505798339844,539.2409057617188,0.9770233035087585,321.7215881347656,499.87786865234375,0.9982519745826721,349.4085693359375,471.8494873046875,0.9880589842796326,288.1438293457031,556.6243286132812,0.991435706615448,305.2796936035156,510.5176696777344,0.985333263874054,283.74066162109375,498.66259765625,0.995103120803833,295.5298767089844,484.6637878417969,0.9979323148727417,202.05284118652344,520.3633422851562,0.9940699338912964,266.1445617675781,460.6806335449219,0.9181784987449646,255.42135620117188,495.56610107421875,0.9994059801101685,274.0393981933594,487.2762451171875,0.9946145415306091
